tweet_id,date,url,domain,is_https,tweet_text,potentially_malicious,user_name,user_verified,user_followers,user_friends,retweet_count,like_count
3102455023435654481,2025-03-13T11:21:52.401367,https://medium.com/posts/91441,medium.com,True,Great resource for developers: https://medium.com/posts/91441,False,user_ba7a424f,False,3449,1871,3,100
2014964655813033092,2025-03-14T18:21:52.401367,https://1bc6db25.tk/account,1bc6db25.tk,True,Make money fast! https://1bc6db25.tk/account,True,user_c8f5ee85,False,8809,5000,19,5
1762806254785263149,2025-03-15T04:14:52.401367,https://76b13759.ga/bank,76b13759.ga,True,Make money fast! https://76b13759.ga/bank,True,user_9892c9af,False,598,160,19,36
6116846106399361769,2025-03-13T12:12:52.401367,https://login.8b3f8f15..ml,login.8b3f8f15..ml,True,Limited time offer! Click here https://login.8b3f8f15..ml,True,user_a82bd09e,False,50242,5000,13,46
7030108386095231635,2025-03-10T13:52:52.401367,https://google.com/article/1808,google.com,True,Latest update on our project: https://google.com/article/1808,False,user_fd022427,False,2249,892,3,71
1058428000296037746,2025-03-13T17:55:52.401367,https://login.b48d5aa9..tk,login.b48d5aa9..tk,True,Make money fast! https://login.b48d5aa9..tk,True,user_352c0043,False,2419,1486,20,0
2636201765116673662,2025-03-14T18:51:52.401367,https://stack0verfl0w.c0m/login,stack0verfl0w.c0m,True,Make money fast! https://stack0verfl0w.c0m/login,True,user_cc824f08,False,4932,3531,10,7
1994245755183656944,2025-03-13T20:37:52.401367,https://g00gle.c0m/login,g00gle.c0m,True,Limited time offer! Click here https://g00gle.c0m/login,True,user_5f36a48d,False,436,226,17,26
8850841873180618078,2025-03-12T02:49:52.401367,https://youtube.com/news/2025/03/16/2fb137,youtube.com,True,Latest update on our project: https://youtube.com/news/2025/03/16/2fb137,False,user_ed247151,False,3571,2516,14,12
4622151715246061670,2025-03-14T11:47:52.401367,https://stackoverflow.com/blog/dc11fefe,stackoverflow.com,True,Just published a new post: https://stackoverflow.com/blog/dc11fefe,False,user_584b0a13,False,2327,691,4,2
1656028585665645776,2025-03-12T17:53:52.401367,https://9b093e21.ml/account,9b093e21.ml,True,You won't believe what I found https://9b093e21.ml/account,True,user_c3fdeca8,False,1226,841,18,3
2751031482692217805,2025-03-14T08:03:52.401367,https://d0413c57.tk/login,d0413c57.tk,True,URGENT: Your account needs verification https://d0413c57.tk/login,True,user_cb78939a,False,2682,1324,14,2
7078558078821832155,2025-03-12T09:35:52.401367,https://twitter.com/posts/84976,twitter.com,True,Latest update on our project: https://twitter.com/posts/84976,False,user_5ac4e4d7,False,2412,604,11,8
2015492071741289984,2025-03-15T12:57:52.401367,https://medium.com/posts/64298,medium.com,True,Great resource for developers: https://medium.com/posts/64298,False,user_7c95e833,False,966,696,11,13
3044123633394974089,2025-03-13T10:09:52.401367,https://medium.c0m/login,medium.c0m,True,You won't believe what I found https://medium.c0m/login,True,user_1b31e5bd,False,624,399,18,6
7660534528786127287,2025-03-12T08:49:52.401367,https://dev.to/content/23b218c9c5,dev.to,True,Just published a new post: https://dev.to/content/23b218c9c5,False,user_06e38999,False,7612,4011,5,61
7493648865847493471,2025-03-14T16:58:52.401367,https://medium.com/content/a7c929d437,medium.com,True,Latest update on our project: https://medium.com/content/a7c929d437,False,user_a982ccff,False,339,49,3,5
2635629469873487502,2025-03-16T04:12:52.401367,https://google.com/blog/e83112c7,google.com,True,Useful information here: https://google.com/blog/e83112c7,False,user_78ebe001,True,35556,5000,29,71
1937784952098460054,2025-03-10T03:36:52.401367,https://facebook.com/article/2267,facebook.com,True,Just published a new post: https://facebook.com/article/2267,False,user_c2fca5c7,False,4487,806,22,23
1572841134982486816,2025-03-14T06:59:52.401367,https://google.com/content/0ead66d70c,google.com,True,Great resource for developers: https://google.com/content/0ead66d70c,False,user_9d2ce0ab,False,5761,745,5,6
2320836669101966047,2025-03-11T21:23:52.401367,https://amazon.com/article/2194,amazon.com,True,Latest update on our project: https://amazon.com/article/2194,False,user_c3d2fd43,False,34162,5000,18,9
3001901127629751772,2025-03-13T02:29:52.401367,https://twitter.com/posts/75304,twitter.com,True,Check out this interesting article! https://twitter.com/posts/75304,False,user_cf2e7497,False,302,56,11,23
3243032253046080837,2025-03-16T05:46:52.401367,https://google.com/posts/82723,google.com,True,Great resource for developers: https://google.com/posts/82723,False,user_ad255bd1,False,15364,2432,1,11
